Brand,Dealer Name Thai,Location,Dealer Name Eng,Location,Tel,Map,Latitude,Longitude
HONDA,บริษัท ธัญบุรี ฮอนด้าคาร์ส์ จำกัด (สาขา ลำลูกกา),9/3 หมู่ที่ 7 ตำบลลาดสวาย อำเภอลำลูกกา จังหวัดปทุมธานี 12150,"Thanyaburi Honda Cars Co., Ltd. (Lamlukka Branch)","9/3 Moo 7, Latsawai, Lamlukka, Pathumthani 12150",0 2147 5252,https://goo.gl/maps/RiakkJ6UoVS2,13.93333574,100.6805923
HONDA,บริษัท นครปฐม ฮอนด้า ออโตโมบิล จำกัด,2222 ถนนเพชรเกษม ตำบลห้วยจรเข้ อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000,"Nakornprathom Honda Automobile Co., Ltd.","2222 Petchakasem Road, Huaichorakhe, Mueang Nakhonpathom, Nakhonpathom 73000",0 3425 6000,https://goo.gl/maps/js5HAmjsLj32,13.81942649,100.0751634
HONDA,บริษัท นครินทร์ ฮอนด้าคาร์ส์ จำกัด,888 ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,"Nakarin Honda Cars Co., Ltd.","888 Srinakarin Road, Suanluang, Suanluang, Bangkok 10250",0 2730 2000,https://goo.gl/maps/nTVqqEgUB532,13.72704569,100.6412312
HONDA,บริษัท นนทบุรี ฮอนด้าคาร์ส์ จำกัด,234 หมู่ที่ 4 ถนนตลิ่งชัน - สุพรรณบุรี ตำบลบางรักพัฒนา อำเภอบางบัวทอง จังหวัดนนทบุรี 11000,"Nonthaburi Honda Cars Co., Ltd.","234 Moo 4, Taling Chan-Suphan Buri Road, Bang Rak Phatthana, Bang Bua Thong District, Nonthaburi 11110",0 2927 9955,https://goo.gl/maps/4oCSuBYhPc12,13.88607343,100.4090774
HONDA,บริษัท นวมินทร์ ฮอนด้า ออโตโมบิล จำกัด,15/2-4 ถนนนวมินทร์ แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,"Nawamin Honda Automobile Co., Ltd.","15/2-4 Nawamin Road, Nawamin, Buengkum, Bangkok 10230",0 2510 3389,https://goo.gl/maps/dt8FtGSeZrD2,13.80774407,100.6487771
HONDA,บริษัท บางปู ฮอนด้า ออโตโมบิล จำกัด,123 หมู่ที่ 6 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10280,"Bangpoo Honda Automobile Co., Ltd.","123 Moo 6, Bang Pu Mai, Mueang Samut Prakan District, Samut Prakan 10280",0 2323 3111,https://goo.gl/maps/T4idSPrZjAo,13.53325575,100.6291106
HONDA,บริษัท บางพลี ฮอนด้า ออโตโมบิล จำกัด,70 หมู่ที่ 13 ถนนบางนา-ตราด กม.10 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,"Bangplee Honda Automobile Co., Ltd.","70 Moo 1 Bangna-Tart Road km. 10, Banghliyai, Bangphli, Samutprakarn 10540",0 2316 3333,https://goo.gl/maps/6Byte1PLHY92,13.6410454,100.6999382
HONDA,บริษัท บางเขน ฮอนด้าคาร์ส์ จำกัด,357 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,"Bangkhen Honda Cars Co., Ltd.","357 Phahonyothin Road, Anusawari, Bangkhen, Bangkok 10220",0 2972 4455,https://goo.gl/maps/fSifkmY5uyx,13.88622569,100.6024571
HONDA,บริษัท ปิ่นเกล้า ฮอนด้าคาร์ส์ จำกัด,22 ถนนบรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,"Pinklao Honda Cars Co., Ltd.","22 Borommaratchachonnani Road, Chimphli, Talingchan, Bangkok 10170",0 2884 1875,https://goo.gl/maps/LuDKXfPSbEU2,13.78123556,100.4449434
HONDA,บริษัท พระนคร ฮอนด้า ออโตโมบิล จำกัด (สาขา บางซื่อ),254 ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"Phranakorn Honda Automobile Co., Ltd. (Bangsue Branch)","254 Bangkok-Nonthaburi Road, Bangsue, Bangsue, Bangkok 10800",0 2911 3111,https://goo.gl/maps/hkrws3V5tyo,13.80904931,100.5312779
